Loading config...
Memory hierarchy built.
{'mem': <cache.Cache object at 0x7eff1b6407f0>, 'cache_2': <cache.Cache object at 0x7eff1b640f70>, 'cache_1': <cache.Cache object at 0x7eff1b642230>}
Loading tracefile...
Loaded tracefile /home/ajay/Documents/CSE_530/Assignments/assignment_1/question/content/CachePerformanceOnMatMul/traces/mat_scatter_traces.out
Begin simulation!
0:	Reading 0x7ffc05b6b2a8
	hit_list: {'cache_1': True}	time: 1

118:	Reading 0x7ffc05b6b1e0
	hit_list: {'cache_1': True}	time: 1

119:	Reading 0x7ffc05b6b1e8
	hit_list: {'cache_1': True}	time: 1

120:	Reading 0x7ffc05b6b1e0
	hit_list: {'cache_1': True}	time: 1

121:	Writing 0x7ffc05b6b1d8
	hit_list: {'cache_1': True}	time: 1

122:	Writing 0x7ffc05b6b1d0
	hit_list: {'cache_1': True}	time: 1

123:	Writing 0x7ffc05b6b1c8
	hit_list: {'cache_1': True}	time: 1

124:	Writing 0x7ffc05b6b1c0
	hit_list: {'cache_1': True}	time: 1

125:	Reading 0x7ffc05b6b1c0
	hit_list: {'cache_1': True}	time: 1

126:	Reading 0x7ffc05b6b1c8
	hit_list: {'cache_1': True}	time: 1

127:	Writing 0x7ffc05b6b1b8
	hit_list: {'cache_1': False}	time: 1

128:	Writing 0x7ffc05b6b1b0
	hit_list: {'cache_1': True}	time: 1

129:	Writing 0x7ffc05b6b1a8
	Writing back block 0x7ffc05b6b1a8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

130:	Writing 0x7ffc05b6b1a0
	hit_list: {'cache_1': True}	time: 1

131:	Writing 0x7ffc05b6b198
	Writing back block 0x7ffc05b6b198 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

132:	Reading 0x7ffc05b6b1a8
	hit_list: {'cache_1': True}	time: 1

133:	Writing 0x7ffc05b6b188
	Writing back block 0x7ffc05b6b188 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

134:	Writing 0x7ffc05b6b180
	hit_list: {'cache_1': True}	time: 1

135:	Writing 0x7ffc05b6b178
	Writing back block 0x7ffc05b6b178 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

136:	Reading 0x7ffc05b6b180
	hit_list: {'cache_1': True}	time: 1

137:	Reading 0x7ffc05b6b188
	hit_list: {'cache_1': True}	time: 1

138:	Reading 0x7ffc05b6b1a0
	hit_list: {'cache_1': True}	time: 1

139:	Reading 0x7ffc05b6b1a0
	hit_list: {'cache_1': True}	time: 1

140:	Writing 0x7ffc05b6b188
	hit_list: {'cache_1': True}	time: 1

141:	Reading 0x564366ecbef8
	Writing back block 0x564366ecbef8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

142:	Writing 0x7ffc05b6b180
	hit_list: {'cache_1': True}	time: 1

143:	Writing 0x7ffc05b6b178
	hit_list: {'cache_1': True}	time: 1

144:	Reading 0x7f2714aed708
	Writing back block 0x7f2714aed708 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

145:	Writing 0x7ffc05b6b170
	hit_list: {'cache_1': True}	time: 1

146:	Writing 0x7ffc05b6b168
	hit_list: {'cache_1': False}	time: 1

147:	Writing 0x7ffc05b6b160
	hit_list: {'cache_1': True}	time: 1

148:	Reading 0x7f27148824e8
	Writing back block 0x7f27148824e8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

149:	Reading 0x7f271487ada8
	Writing back block 0x7f271487ada8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

150:	Reading 0x7f2714564358
	Writing back block 0x7f2714564358 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

151:	Reading 0x7f271487b3c8
	Writing back block 0x7f271487b3c8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

152:	Reading 0x56436835d022
	Writing back block 0x56436835d022 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

153:	Reading 0x7f27145643d8
	Writing back block 0x7f27145643d8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

154:	Writing 0x7ffc05b6b148
	Writing back block 0x7ffc05b6b148 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

155:	Writing 0x7ffc05b6b140
