Loading config...
Memory hierarchy built.
{'mem': <cache.Cache object at 0x7f785f31c7f0>, 'cache_2': <cache.Cache object at 0x7f785f31cf70>, 'cache_1': <cache.Cache object at 0x7f785f31e230>}
Loading tracefile...
Loaded tracefile /home/ajay/Documents/CSE_530/Assignments/assignment_1/question/content/CachePerformanceOnMatMul/traces/mat_column_wise_copy_traces.out
Begin simulation!
0:	Reading 0x7ffde0c167d8
128:	Writing 0x7ffde0c166e0
	hit_list: {'cache_1': True}	time: 1

129:	Writing 0x7ffde0c166d8
	Writing back block 0x7ffde0c166d8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

130:	Writing 0x7ffde0c166d0
	hit_list: {'cache_1': True}	time: 1

131:	Writing 0x7ffde0c166c8
	Writing back block 0x7ffde0c166c8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

132:	Reading 0x7ffde0c166d8
	hit_list: {'cache_1': True}	time: 1

133:	Writing 0x7ffde0c166b8
	hit_list: {'cache_1': False}	time: 1

134:	Writing 0x7ffde0c166b0
	hit_list: {'cache_1': True}	time: 1

135:	Writing 0x7ffde0c166a8
	Writing back block 0x7ffde0c166a8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

136:	Reading 0x7ffde0c166b0
	hit_list: {'cache_1': True}	time: 1

137:	Reading 0x7ffde0c166b8
	hit_list: {'cache_1': True}	time: 1

138:	Reading 0x7ffde0c166d0
	hit_list: {'cache_1': True}	time: 1

139:	Reading 0x7ffde0c166d0
	hit_list: {'cache_1': True}	time: 1

140:	Writing 0x7ffde0c166b8
	hit_list: {'cache_1': True}	time: 1

141:	Reading 0x56045c515f48
	Writing back block 0x56045c515f48 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

142:	Writing 0x7ffde0c166b0
	hit_list: {'cache_1': True}	time: 1

143:	Writing 0x7ffde0c166a8
	hit_list: {'cache_1': True}	time: 1

144:	Reading 0x7f979b818708
	Writing back block 0x7f979b818708 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

145:	Writing 0x7ffde0c166a0
	hit_list: {'cache_1': True}	time: 1

146:	Writing 0x7ffde0c16698
	Writing back block 0x7ffde0c16698 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

147:	Writing 0x7ffde0c16690
	hit_list: {'cache_1': True}	time: 1

148:	Reading 0x7f979b5a94e8
	Writing back block 0x7f979b5a94e8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

149:	Reading 0x7f979b5a1da8
	Writing back block 0x7f979b5a1da8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

150:	Reading 0x7f979b296358
	Writing back block 0x7f979b296358 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

151:	Reading 0x7f979b5a23c8
	Writing back block 0x7f979b5a23c8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

152:	Reading 0x56045de6102c
	Writing back block 0x56045de6102c to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

153:	Reading 0x56045de61100
	Writing back block 0x56045de61100 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

154:	Reading 0x56045de73340
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

155:	Writing 0x56045de61100
	hit_list: {'cache_1': True}	time: 1

156:	Writing 0x56045de6102c
	hit_list: {'cache_1': True}	time: 1

157:	Writing 0x56045de73348
	hit_list: {'cache_1': True}	time: 1

158:	Reading 0x7ffde0c16690
	hit_list: {'cache_1': True}	time: 1

159:	Reading 0x7ffde0c16698
	hit_list: {'cache_1': True}	time: 1

160:	Reading 0x7ffde0c166a0
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

161:	Reading 0x7ffde0c166a8
	hit_list: {'cache_1': True}	time: 1

162:	Reading 0x7ffde0c166b0
	hit_list: {'cache_1': True}	time: 1

163:	Reading 0x7ffde0c166b8
	hit_list: {'cache_1': True}	time: 1

164:	Reading 0x7ffde0c166e0
	hit_list: {'cache_1': True}	time: 1

165:	Reading 0x7ffde0c166e8
	hit_list: {'cache_1': True}	time: 1

166:	Reading 0x7ffde0c16700
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

167:	Reading 0x7ffde0c16708
	hit_list: {'cache_1': True}	time: 1

168:	Reading 0x7ffde0c16720
	Writing back block 0x7ffde0c16720 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

169:	Reading 0x7ffde0c16728
	hit_list: {'cache_1': True}	time: 1

170:	Reading 0x7ffde0c16738
	hit_list: {'cache_1': True}	time: 1

171:	Writing 0x7ffde0c16870
	hit_list: {'cache_1': True}	time: 1

172:	Reading 0x7ffde0c16738
	hit_list: {'cache_1': True}	time: 1

173:	Reading 0x7ffde0c16870
	hit_list: {'cache_1': True}	time: 1

174:	Reading 0x7ffde0c16738
	hit_list: {'cache_1': True}	time: 1

175:	Writing 0x7ffde0c16878
	hit_list: {'cache_1': True}	time: 1

176:	Reading 0x7ffde0c16738
	hit_list: {'cache_1': True}	time: 1

177:	Reading 0x7ffde0c16870
	hit_list: {'cache_1': True}	time: 1

178:	Reading 0x7ffde0c16730
	hit_list: {'cache_1': True}	time: 1

179:	Reading 0x7ffde0c16738
	hit_list: {'cache_1': True}	time: 1

180:	Writing 0x7ffde0c16880
	Writing back block 0x7ffde0c16880 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

181:	Reading 0x7ffde0c16740
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

182:	Reading 0x7ffde0c16748
	hit_list: {'cache_1': True}	time: 1

183:	Reading 0x7ffde0c16778
	Writing back block 0x7ffde0c16778 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

184:	Reading 0x7ffde0c16780
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

185:	Reading 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

186:	Writing 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

187:	Writing 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

188:	Writing 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

189:	Reading 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

190:	Writing 0x7ffde0c16768
	Writing back block 0x7ffde0c16768 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

191:	Writing 0x7ffde0c16760
	hit_list: {'cache_1': True}	time: 1

192:	Writing 0x7ffde0c16758
	Writing back block 0x7ffde0c16758 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

193:	Reading 0x7ffde0c16760
	hit_list: {'cache_1': True}	time: 1

194:	Reading 0x7ffde0c16768
	hit_list: {'cache_1': True}	time: 1

195:	Reading 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

196:	Reading 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

197:	Reading 0x7ffde0c16798
	Writing back block 0x7ffde0c16798 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

198:	Writing 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

199:	Writing 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

200:	Writing 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

201:	Reading 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

202:	Reading 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

203:	Reading 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

204:	Reading 0x7ffde0c16798
	hit_list: {'cache_1': True}	time: 1

205:	Reading 0x7ffde0c16870
	hit_list: {'cache_1': True}	time: 1

206:	Reading 0x7ffde0c16790
	hit_list: {'cache_1': True}	time: 1

207:	Writing 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

208:	Writing 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

209:	Writing 0x7ffde0c16768
	hit_list: {'cache_1': True}	time: 1

210:	Reading 0x7f979b2963e8
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

211:	Writing 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

212:	Reading 0x7ffde0c16768
	hit_list: {'cache_1': True}	time: 1

213:	Writing 0x7ffde0c16758
	hit_list: {'cache_1': True}	time: 1

214:	Writing 0x7ffde0c16750
	hit_list: {'cache_1': True}	time: 1

215:	Writing 0x7ffde0c16748
	hit_list: {'cache_1': True}	time: 1

216:	Writing 0x7ffde0c16740
	hit_list: {'cache_1': True}	time: 1

217:	Reading 0x7ffde0c16740
	hit_list: {'cache_1': True}	time: 1

218:	Reading 0x7ffde0c16838
	Writing back block 0x7ffde0c16838 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

219:	Reading 0x7ffde0c16748
	hit_list: {'cache_1': True}	time: 1

220:	Writing 0x7ffde0c16770
	hit_list: {'cache_1': True}	time: 1

221:	Reading 0x7ffde0c16750
	hit_list: {'cache_1': True}	time: 1

222:	Reading 0x7ffde0c16758
	hit_list: {'cache_1': True}	time: 1

223:	Reading 0x7ffde0c16770
	hit_list: {'cache_1': True}	time: 1

224:	Reading 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

225:	Reading 0x7f979b2963e8
	hit_list: {'cache_1': True}	time: 1

226:	Reading 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

227:	Reading 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

228:	Reading 0x7ffde0c16790
	hit_list: {'cache_1': True}	time: 1

229:	Writing 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

230:	Writing 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

231:	Writing 0x7ffde0c16768
	hit_list: {'cache_1': True}	time: 1

232:	Reading 0x7f979b2963e8
	hit_list: {'cache_1': True}	time: 1

233:	Writing 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

234:	Reading 0x7ffde0c16768
	hit_list: {'cache_1': True}	time: 1

235:	Writing 0x7ffde0c16758
	hit_list: {'cache_1': True}	time: 1

236:	Writing 0x7ffde0c16750
	hit_list: {'cache_1': True}	time: 1

237:	Writing 0x7ffde0c16748
	hit_list: {'cache_1': True}	time: 1

238:	Writing 0x7ffde0c16740
	hit_list: {'cache_1': True}	time: 1

239:	Reading 0x7ffde0c16740
	hit_list: {'cache_1': True}	time: 1

240:	Reading 0x7ffde0c16830
	hit_list: {'cache_1': True}	time: 1

241:	Reading 0x7ffde0c16748
	hit_list: {'cache_1': True}	time: 1

242:	Writing 0x7ffde0c16770
	hit_list: {'cache_1': True}	time: 1

243:	Reading 0x7ffde0c16750
	hit_list: {'cache_1': True}	time: 1

244:	Reading 0x7ffde0c16758
	hit_list: {'cache_1': True}	time: 1

245:	Reading 0x7ffde0c16770
	hit_list: {'cache_1': True}	time: 1

246:	Reading 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

247:	Reading 0x7f979b2963e8
	hit_list: {'cache_1': True}	time: 1

248:	Reading 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

249:	Reading 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

250:	Writing 0x7ffde0c16788
	hit_list: {'cache_1': True}	time: 1

251:	Writing 0x7ffde0c16780
	hit_list: {'cache_1': True}	time: 1

252:	Writing 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

253:	Writing 0x7ffde0c16770
	hit_list: {'cache_1': True}	time: 1

254:	Writing 0x7ffde0c16768
	hit_list: {'cache_1': True}	time: 1

255:	Writing 0x7ffde0c16760
	hit_list: {'cache_1': True}	time: 1

256:	Reading 0x7ffde0c16768
	hit_list: {'cache_1': True}	time: 1

257:	Reading 0x7ffde0c16770
	hit_list: {'cache_1': True}	time: 1

258:	Reading 0x7ffde0c16778
	hit_list: {'cache_1': True}	time: 1

259:	Writing 0x7ffde0c16758
	hit_list: {'cache_1': True}	time: 1

260:	Writing 0x7ffde0c16750
	hit_list: {'cache_1': True}	time: 1

261:	Writing 0x7ffde0c16738
	Writing back block 0x7ffde0c16738 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

262:	Writing 0x7ffde0c16730
	hit_list: {'cache_1': True}	time: 1

263:	Writing 0x7ffde0c16728
	hit_list: {'cache_1': True}	time: 1

264:	Writing 0x7ffde0c1674f
	hit_list: {'cache_1': True}	time: 1

265:	Reading 0x7ffde0c16728
	hit_list: {'cache_1': True}	time: 1

266:	Reading 0x7ffde0c16730
	hit_list: {'cache_1': True}	time: 1

267:	Reading 0x7ffde0c16738
	hit_list: {'cache_1': True}	time: 1

268:	Writing 0x7ffde0c16718
	Writing back block 0x7ffde0c16718 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

269:	Writing 0x7ffde0c16710
	hit_list: {'cache_1': True}	time: 1

270:	Writing 0x7ffde0c16708
	Writing back block 0x7ffde0c16708 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

271:	Writing 0x7ffde0c166e8
	hit_list: {'cache_1': False}	time: 1

272:	Writing 0x7ffde0c166e0
	hit_list: {'cache_1': True}	time: 1

273:	Writing 0x7ffde0c166d8
	hit_list: {'cache_1': False}	time: 1

274:	Reading 0x7ffde0c166d8
	hit_list: {'cache_1': True}	time: 1

275:	Writing 0x7ffde0c166f8
	Writing back block 0x7ffde0c166f8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

276:	Writing 0x7ffde0c166c8
	Writing back block 0x7ffde0c166c8 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

277:	Writing 0x7ffde0c166c0
	hit_list: {'cache_1': True}	time: 1

278:	Writing 0x7ffde0c166b8
	hit_list: {'cache_1': False}	time: 1

279:	Writing 0x7ffde0c166a8
	hit_list: {'cache_1': True}	time: 1

280:	Writing 0x7ffde0c166a0
	hit_list: {'cache_1': True}	time: 1

281:	Reading 0x7ffde0c166a8
	hit_list: {'cache_1': True}	time: 1

282:	Writing 0x7ffde0c16698
	hit_list: {'cache_1': False}	time: 1

283:	Writing 0x7ffde0c16690
	hit_list: {'cache_1': True}	time: 1

284:	Writing 0x7ffde0c16688
	Writing back block 0x7ffde0c16688 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

285:	Reading 0x7ffde0c16688
	hit_list: {'cache_1': True}	time: 1

